state,year,name,number_of_co_cs,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,sheltered_homeless_individuals,unsheltered_homeless_individuals,homeless_people_in_families,sheltered_homeless_people_in_families,unsheltered_homeless_people_in_families,price,population,unemployment
GA,2015,Georgia,9,13790,7987,5803,9702,4783,4919,4088,3204,884,758.25,10199533,6
GA,2016,Georgia,9,12909,7543,5366,9265,4785,4480,3644,2758,886,792.875,10313620,5.4
GA,2017,Georgia,9,10174,6651,3523,7422,4102,3320,2752,2549,203,821.6666667,10429379,4.7
HI,2014,Hawaii,2,6918,3813,3105,3750,1164,2586,3168,2649,519,1267.791667,1417710,4.4
HI,2015,Hawaii,2,7620,3777,3843,4307,1243,3064,3313,2534,779,1315.958333,1426320,3.6
HI,2016,Hawaii,2,7921,3613,4308,4590,1282,3308,3331,2331,1000,1385,1428683,2.9
HI,2017,Hawaii,2,7220,3420,3800,4535,1258,3277,2685,2162,523,1397.333333,1427538,2.4
IA,2014,Iowa,3,3122,2926,196,1544,1368,176,1578,1558,20,542.75,3105563,4.2
IA,2015,Iowa,3,3081,2878,203,1501,1302,199,1580,1576,4,550.4583333,3118473,3.8
IA,2016,Iowa,3,3064,2921,143,1543,1400,143,1521,1521,0,558.9583333,3130869,3.6
IA,2017,Iowa,3,2756,2652,104,1500,1396,104,1256,1256,0,565.5,3145711,3.1
ID,2014,Idaho,2,2104,1468,636,1234,848,386,870,620,250,540.125,1630391,4.9
ID,2015,Idaho,2,1966,1497,469,1172,832,340,794,665,129,552.9166667,1649324,4.2
ID,2016,Idaho,2,2247,1509,738,1284,886,398,963,623,340,564.25,1680026,3.8
ID,2017,Idaho,2,2037,1398,639,1309,857,452,728,541,187,589.2083333,1716943,3.2
IL,2014,Illinois,20,13107,11409,1698,7350,5793,1557,5757,5616,141,797.6666667,12882438,7.1
IL,2015,Illinois,20,13177,10463,2714,8152,5599,2553,5025,4864,161,817.8333333,12862051,6
IL,2016,Illinois,20,11590,9736,1854,6986,5226,1760,4604,4510,94,829.8333333,12835726,5.8
IL,2017,Illinois,20,10798,8541,2257,6894,4759,2135,3904,3782,122,845.125,12802023,5
IN,2014,Indiana,3,5971,5568,403,3953,3560,393,2018,2008,10,575.75,6593182,6
IN,2015,Indiana,3,5863,5280,583,3914,3353,561,1949,1927,22,577.625,6610596,4.8
IN,2016,Indiana,3,5798,5107,691,3824,3158,666,1974,1949,25,586,6634007,4.4
IN,2017,Indiana,2,5438,4869,569,3623,3082,541,1815,1787,28,596.8333333,6666818,3.5
KS,2014,Kansas,5,2783,2534,249,1533,1295,238,1250,1239,11,570.4583333,2899553,4.5
KS,2015,Kansas,5,2588,2283,305,1466,1191,275,1122,1092,30,581.2083333,2905789,4.2
KS,2016,Kansas,5,2255,1973,282,1228,956,272,1027,1017,10,591.2916667,2907731,4
KS,2017,Kansas,5,2287,1942,345,1423,1083,340,864,859,5,602.7083333,2913123,3.6
KY,2014,Kentucky,3,5089,4258,831,3352,2805,547,1737,1453,284,530.4166667,4410415,6.5
KY,2015,Kentucky,3,4538,3796,742,3151,2622,529,1387,1174,213,542.7916667,4422057,5.3
KY,2016,Kentucky,3,4237,3531,706,2949,2400,549,1288,1131,157,557.2083333,4436113,5.1
